Entity,Code,Date,people_vaccinated_per_hundred
Florida,,2021-01-30,7.5
Florida,,2021-01-31,7.71
Florida,,2021-02-01,7.84
Florida,,2021-02-02,7.97
Florida,,2021-02-03,8.16
Florida,,2021-02-04,8.35
Florida,,2021-02-05,8.44
Florida,,2021-02-06,8.68
Florida,,2021-02-07,9.15
Florida,,2021-02-08,9.15
Florida,,2021-02-09,9.42
Florida,,2021-02-10,9.61
Florida,,2021-02-11,9.86
Florida,,2021-02-12,10.41
Florida,,2021-02-13,10.73
Florida,,2021-02-14,11.02
Florida,,2021-02-16,11.37
Florida,,2021-02-17,11.63
Florida,,2021-02-18,11.93
Florida,,2021-02-19,13
Florida,,2021-02-20,13.02
Florida,,2021-02-21,13.4
Florida,,2021-02-22,13.4
Florida,,2021-02-23,13.43
Florida,,2021-02-24,13.67
Florida,,2021-02-25,13.89
Florida,,2021-02-26,14.12
Florida,,2021-02-27,14.41
Florida,,2021-02-28,15.01
Florida,,2021-03-01,15.02
Florida,,2021-03-02,15.1
Florida,,2021-03-03,15.36
Florida,,2021-03-04,15.79
Florida,,2021-03-05,16.21
Florida,,2021-03-06,16.96
Florida,,2021-03-07,17.62
Florida,,2021-03-08,17.31
Florida,,2021-03-09,17.51
Georgia,GEO,2021-01-12,0.8
Georgia,GEO,2021-01-13,0.81
Georgia,GEO,2021-01-14,1.92
Georgia,GEO,2021-01-15,1.92
Georgia,GEO,2021-01-19,2.62
Georgia,GEO,2021-01-20,3.35
Georgia,GEO,2021-01-21,3.83
Georgia,GEO,2021-01-22,5.03
Georgia,GEO,2021-01-23,5.03
Georgia,GEO,2021-01-24,5.03
Georgia,GEO,2021-01-25,5.03
Georgia,GEO,2021-01-26,5.57
Georgia,GEO,2021-01-27,5.87
Georgia,GEO,2021-01-28,6.21
Georgia,GEO,2021-01-29,6.53
Georgia,GEO,2021-01-30,6.87
Georgia,GEO,2021-01-31,7.22
Georgia,GEO,2021-02-01,7.4
Georgia,GEO,2021-02-02,7.44
Georgia,GEO,2021-02-03,7.66
Georgia,GEO,2021-02-04,7.86
Georgia,GEO,2021-02-05,8.11
Georgia,GEO,2021-02-06,8.36
Georgia,GEO,2021-02-07,8.59
Georgia,GEO,2021-02-08,8.7
Georgia,GEO,2021-02-09,8.73
Georgia,GEO,2021-02-10,8.91
Georgia,GEO,2021-02-11,9.11
Georgia,GEO,2021-02-12,9.11
Georgia,GEO,2021-02-13,9.3
Georgia,GEO,2021-02-14,9.68
Georgia,GEO,2021-02-16,9.8
Georgia,GEO,2021-02-17,9.8
Georgia,GEO,2021-02-18,10.11
Georgia,GEO,2021-02-19,10.91
Georgia,GEO,2021-02-20,11.13
Georgia,GEO,2021-02-21,11.32
Georgia,GEO,2021-02-22,11.4
Georgia,GEO,2021-02-23,11.43
Georgia,GEO,2021-02-24,11.54
Georgia,GEO,2021-02-25,11.69
Georgia,GEO,2021-02-26,11.88
Georgia,GEO,2021-02-27,12.07
Georgia,GEO,2021-02-28,12.07
Georgia,GEO,2021-03-01,12.08
Georgia,GEO,2021-03-02,12.16
Georgia,GEO,2021-03-03,12.33
Georgia,GEO,2021-03-04,12.56
Georgia,GEO,2021-03-05,12.82
Georgia,GEO,2021-03-06,13.09
Georgia,GEO,2021-03-07,13.38
